Company:,AeroCab Services,,,,,,
Date:,,,,,,,
,,,,,,,
,,,,,,,
Ride ID,OriginArea,BookingTime,Total (hh:mm:ss),Traffic Period,Confirmed,Confirmation Time,Ride Start Time
RD10976,Lounge Pickup Area,4:46 AM,00:03:00,Non-Peak Time,Yes,8,2
RD10977,Lounge Pickup Area,10:40 AM,00:04:00,Non-Peak Time,Yes,6,2
RD10978,Lounge Pickup Area,3:54 AM,00:03:00,Non-Peak Time,Yes,9,1
RD10979,Lounge Pickup Area,12:29 AM,00:04:00,Non-Peak Time,Yes,6,1
RD10980,Lounge Pickup Area,1:02 AM,00:04:00,Non-Peak Time,No,8,0
RD10981,Lounge Pickup Area,1:53 PM,00:04:00,Non-Peak Time,Yes,7,2
RD10982,Lounge Pickup Area,10:57 AM,00:05:00,Non-Peak Time,Yes,6,2
RD10983,Lounge Pickup Area,1:09 PM,00:04:00,Non-Peak Time,Yes,5,2
RD10984,Lounge Pickup Area,12:35 AM,00:04:00,Non-Peak Time,Yes,7,1
RD10985,Lounge Pickup Area,1:51 PM,00:15:00,Peak Time,No,15,0
RD10986,Lounge Pickup Area,9:22 PM,00:17:00,Peak Time,No,17,0
RD10987,Lounge Pickup Area,12:35 PM,00:23:00,Peak Time,No,23,0
RD10988,Lounge Pickup Area,12:11 AM,00:03:00,Peak Time,Yes,9,1
RD10989,Lounge Pickup Area,8:10 PM,00:04:00,Peak Time,Yes,5,2
RD10990,Lounge Pickup Area,5:03 AM,00:04:00,Peak Time,Yes,7,1
RD10991,Lounge Pickup Area,12:04 AM,00:16:00,Peak Time,Yes,15,1
RD10992,Lounge Pickup Area,10:08 AM,00:06:00,Peak Time,Yes,8,2
RD10993,Lounge Pickup Area,10:18 AM,00:20:00,Peak Time,Yes,19,1
RD10994,Lounge Pickup Area,10:27 AM,00:17:00,Peak Time,Yes,15,2
RD10995,Lounge Pickup Area,10:21 AM,00:16:00,Peak Time,Yes,15,1
RD10996,Lounge Pickup Area,12:31 PM,00:04:00,Peak Time,Yes,5,1
RD10997,Lounge Pickup Area,1:35 PM,00:19:00,Peak Time,No,19,0
RD10998,Lounge Pickup Area,11:44 AM,00:17:00,Peak Time,Yes,15,2
RD10999,Lounge Pickup Area,10:07 AM,00:05:00,Peak Time,Yes,8,2
RD11000,Lounge Pickup Area,11:48 AM,00:17:00,Peak Time,No,17,0
RD11001,Lounge Pickup Area,12:38 AM,00:17:00,Peak Time,Yes,16,1
RD11002,Lounge Pickup Area,7:26 PM,00:18:00,Peak Time,Yes,16,2
RD11003,Lounge Pickup Area,11:58 AM,00:21:00,Peak Time,Yes,19,2
RD11004,Lounge Pickup Area,5:53 AM,00:15:00,Peak Time,No,15,0
RD11005,Lounge Pickup Area,10:18 AM,00:17:00,Peak Time,No,17,0
RD11006,Lounge Pickup Area,11:39 AM,00:16:00,Peak Time,Yes,15,1
RD11007,Lounge Pickup Area,11:23 PM,00:18:00,Peak Time,No,18,0
RD11008,Lounge Pickup Area,4:13 AM,00:03:00,Peak Time,Yes,7,2
RD11009,Lounge Pickup Area,12:56 AM,00:16:00,Peak Time,No,16,0
RD11010,Lounge Pickup Area,8:13 PM,00:05:00,Peak Time,Yes,7,2
RD11011,Lounge Pickup Area,9:34 PM,00:04:00,Peak Time,Yes,6,2
RD11012,Lounge Pickup Area,10:32 AM,00:16:00,Peak Time,No,16,0
RD11013,Lounge Pickup Area,4:50 AM,00:17:00,Peak Time,Yes,15,2
RD11014,Lounge Pickup Area,11:35 AM,00:03:00,Peak Time,Yes,5,1
RD11015,Lounge Pickup Area,3:22 AM,00:06:00,Peak Time,Yes,6,2
RD11016,Lounge Pickup Area,1:40 PM,00:03:00,Peak Time,Yes,8,1
RD11017,Lounge Pickup Area,1:54 PM,00:03:00,Non-Peak Time,Yes,6,1
RD11018,Lounge Pickup Area,7:13 PM,00:04:00,Non-Peak Time,Yes,9,2
RD11019,Lounge Pickup Area,9:17 PM,00:03:00,Non-Peak Time,Yes,7,1
RD11020,Lounge Pickup Area,7:56 PM,00:05:00,Non-Peak Time,Yes,6,2
RD11021,Lounge Pickup Area,1:45 AM,00:04:00,Non-Peak Time,Yes,6,2
RD11022,Lounge Pickup Area,1:52 PM,00:03:00,Non-Peak Time,Yes,7,1
RD11023,Lounge Pickup Area,8:15 PM,00:04:00,Non-Peak Time,Yes,6,2
RD11024,Lounge Pickup Area,3:49 AM,00:02:00,Non-Peak Time,Yes,7,1
RD11025,Lounge Pickup Area,3:30 AM,00:02:00,Non-Peak Time,No,6,0
RD11026,Lounge Pickup Area,11:49 AM,00:04:00,Non-Peak Time,Yes,7,1
RD11027,Lounge Pickup Area,12:29 AM,00:04:00,Non-Peak Time,Yes,7,2
RD11028,Lounge Pickup Area,12:17 PM,00:03:00,Non-Peak Time,Yes,8,1
RD11029,Lounge Pickup Area,10:49 AM,00:03:00,Non-Peak Time,Yes,6,1
RD11030,Lounge Pickup Area,7:42 PM,00:05:00,Non-Peak Time,Yes,7,2
RD11031,Lounge Pickup Area,11:59 AM,00:05:00,Non-Peak Time,Yes,6,2
RD11032,Lounge Pickup Area,9:37 PM,00:03:00,Non-Peak Time,Yes,7,1
RD11033,Lounge Pickup Area,7:40 PM,00:05:00,Non-Peak Time,Yes,7,2
RD11034,Lounge Pickup Area,1:23 PM,00:03:00,Non-Peak Time,No,7,0
RD11035,Lounge Pickup Area,9:17 PM,00:04:00,Non-Peak Time,Yes,7,1
RD11036,Lounge Pickup Area,2:05 AM,00:17:00,Peak Time,No,17,0
RD11037,Lounge Pickup Area,1:24 AM,00:17:00,Peak Time,No,17,0
RD11038,Lounge Pickup Area,12:31 PM,00:04:00,Non-Peak Time,Yes,6,1
RD11039,Lounge Pickup Area,1:53 PM,00:19:00,Peak Time,No,19,0
RD11040,Lounge Pickup Area,1:36 PM,00:15:00,Peak Time,No,15,0
RD11041,Lounge Pickup Area,12:29 PM,00:17:00,Peak Time,Yes,15,2
RD11042,Lounge Pickup Area,11:59 AM,00:04:00,Peak Time,Yes,4,2
RD11043,Lounge Pickup Area,6:22 PM,00:15:00,Peak Time,No,15,0
RD11044,Lounge Pickup Area,11:32 AM,00:16:00,Peak Time,No,16,0
RD11045,Lounge Pickup Area,1:29 PM,00:02:00,Non-Peak Time,Yes,5,1
RD11046,Lounge Pickup Area,6:06 PM,00:05:00,Non-Peak Time,Yes,7,2
RD11047,Lounge Pickup Area,7:02 PM,00:03:00,Peak Time,Yes,8,1
RD11048,Lounge Pickup Area,11:23 PM,00:04:00,Peak Time,Yes,5,2
RD11049,Lounge Pickup Area,11:21 AM,00:20:00,Peak Time,Yes,18,2
RD11050,Lounge Pickup Area,11:46 AM,00:03:00,Non-Peak Time,Yes,8,1
RD11051,Lounge Pickup Area,11:25 AM,00:17:00,Peak Time,No,17,0
RD11052,Lounge Pickup Area,12:05 PM,00:15:00,Peak Time,No,15,0
RD11053,Lounge Pickup Area,1:24 AM,00:04:00,Non-Peak Time,Yes,6,1
RD11054,Lounge Pickup Area,12:12 AM,00:03:00,Non-Peak Time,Yes,6,1
RD11055,Lounge Pickup Area,11:26 AM,00:17:00,Peak Time,No,17,0
RD11056,Lounge Pickup Area,5:52 AM,00:03:00,Non-Peak Time,Yes,7,2
RD11057,Lounge Pickup Area,4:59 AM,00:19:00,Peak Time,No,19,0
RD11058,Lounge Pickup Area,9:31 PM,00:05:00,Peak Time,Yes,8,1
RD11059,Lounge Pickup Area,11:51 AM,00:05:00,Peak Time,Yes,7,2
RD11060,Lounge Pickup Area,11:09 PM,00:15:00,Peak Time,No,15,0
RD11061,Lounge Pickup Area,3:45 AM,00:19:00,Peak Time,No,19,0
RD11062,Lounge Pickup Area,1:38 AM,00:18:00,Peak Time,Yes,17,1
RD11063,Lounge Pickup Area,8:30 PM,00:16:00,Peak Time,Yes,15,1
RD11064,Lounge Pickup Area,3:39 AM,00:05:00,Non-Peak Time,Yes,8,2
RD11065,Lounge Pickup Area,1:58 PM,00:17:00,Peak Time,No,17,0
RD11066,Lounge Pickup Area,7:44 PM,00:03:00,Peak Time,Yes,7,2
RD11067,Lounge Pickup Area,8:07 PM,00:02:00,Non-Peak Time,Yes,5,1
RD11068,Lounge Pickup Area,1:08 PM,00:17:00,Peak Time,No,17,0
RD11069,Lounge Pickup Area,12:09 PM,00:05:00,Non-Peak Time,Yes,6,2
RD11070,Lounge Pickup Area,5:30 AM,00:04:00,Non-Peak Time,Yes,7,1
RD11071,Lounge Pickup Area,4:39 AM,00:05:00,Non-Peak Time,Yes,6,2
RD11072,Lounge Pickup Area,9:34 PM,00:04:00,Non-Peak Time,Yes,6,2
RD11073,Lounge Pickup Area,9:55 PM,00:02:00,Non-Peak Time,No,6,0
RD11074,Lounge Pickup Area,11:57 PM,00:04:00,Non-Peak Time,Yes,6,2
RD11075,Lounge Pickup Area,12:56 PM,00:05:00,Non-Peak Time,Yes,6,2
RD11076,Lounge Pickup Area,12:45 PM,00:03:00,Non-Peak Time,No,6,0
RD11077,Lounge Pickup Area,1:48 PM,00:03:00,Non-Peak Time,Yes,8,1
RD11078,Lounge Pickup Area,1:29 AM,00:04:00,Non-Peak Time,Yes,6,1
RD11079,Lounge Pickup Area,8:49 PM,00:02:00,Non-Peak Time,Yes,5,1
RD11080,Lounge Pickup Area,11:11 AM,00:03:00,Non-Peak Time,Yes,6,2
RD11081,Lounge Pickup Area,1:18 AM,00:03:00,Non-Peak Time,No,8,0
RD11082,Lounge Pickup Area,11:30 AM,00:02:00,Non-Peak Time,Yes,7,1
RD11083,Taxi Stand,10:56 AM,00:08:00,Non-Peak Time,Yes,5,5
RD11084,Taxi Stand,7:22 PM,00:07:00,Non-Peak Time,Yes,7,4
RD11085,Taxi Stand,8:24 PM,00:07:00,Non-Peak Time,Yes,7,3
RD11086,Taxi Stand,11:32 AM,00:07:00,Non-Peak Time,Yes,6,4
RD11087,Taxi Stand,1:18 PM,00:08:00,Non-Peak Time,Yes,7,5
RD11088,Taxi Stand,7:14 PM,00:06:00,Non-Peak Time,Yes,7,3
RD11089,Taxi Stand,8:33 PM,00:06:00,Non-Peak Time,No,6,0
RD11090,Taxi Stand,11:46 AM,00:06:00,Non-Peak Time,No,6,0
RD11091,Taxi Stand,10:20 AM,00:07:00,Non-Peak Time,Yes,7,3
RD11092,Taxi Stand,10:12 AM,00:06:00,Non-Peak Time,Yes,9,3
RD11093,Taxi Stand,7:39 PM,00:08:00,Non-Peak Time,Yes,7,5
RD11094,Taxi Stand,5:38 AM,00:06:00,Non-Peak Time,Yes,8,3
RD11095,Taxi Stand,5:36 AM,00:09:00,Non-Peak Time,Yes,7,5
RD11096,Taxi Stand,4:49 AM,00:08:00,Non-Peak Time,Yes,6,5
RD11097,Taxi Stand,3:27 AM,00:07:00,Non-Peak Time,No,7,0
RD11098,Taxi Stand,1:44 PM,00:09:00,Non-Peak Time,Yes,7,5
RD11099,Taxi Stand,3:49 AM,00:21:00,Peak Time,Yes,18,3
RD11100,Taxi Stand,10:34 AM,00:23:00,Peak Time,Yes,18,5
RD11101,Taxi Stand,10:40 AM,00:21:00,Peak Time,No,21,0
RD11102,Taxi Stand,7:35 PM,00:07:00,Peak Time,Yes,8,3
RD11103,Taxi Stand,1:04 PM,00:17:00,Peak Time,No,17,0
RD11104,Taxi Stand,1:43 PM,00:05:00,Peak Time,Yes,5,3
RD11105,Taxi Stand,7:09 PM,00:21:00,Peak Time,No,21,0
RD11106,Taxi Stand,1:26 PM,00:23:00,Peak Time,No,23,0
RD11107,Taxi Stand,12:25 PM,00:21:00,Peak Time,No,21,0
RD11108,Taxi Stand,11:36 AM,00:26:00,Peak Time,Yes,23,3
RD11109,Taxi Stand,12:37 PM,00:06:00,Peak Time,Yes,7,3
RD11110,Taxi Stand,6:36 PM,00:19:00,Peak Time,No,19,0
RD11111,Taxi Stand,3:45 AM,00:26:00,Peak Time,Yes,21,5
RD11112,Taxi Stand,11:34 PM,00:18:00,Peak Time,Yes,15,3
RD11113,Taxi Stand,11:38 AM,00:22:00,Peak Time,No,22,0
RD11114,Taxi Stand,11:33 PM,00:20:00,Peak Time,Yes,15,5
RD11115,Taxi Stand,4:22 AM,00:24:00,Peak Time,Yes,20,4
RD11116,Taxi Stand,5:02 AM,00:26:00,Peak Time,Yes,21,5
RD11117,Taxi Stand,4:08 AM,00:15:00,Peak Time,No,15,0
RD11118,Taxi Stand,11:05 PM,00:24:00,Peak Time,Yes,20,4
RD11119,Taxi Stand,12:13 PM,00:17:00,Peak Time,No,17,0
RD11120,Taxi Stand,10:53 AM,00:07:00,Peak Time,Yes,8,3
RD11121,Taxi Stand,11:47 AM,00:08:00,Peak Time,Yes,8,4
RD11122,Taxi Stand,10:08 AM,00:23:00,Peak Time,No,23,0
RD11123,Taxi Stand,10:54 AM,00:05:00,Peak Time,Yes,8,3
RD11124,Taxi Stand,7:57 PM,00:29:00,Peak Time,Yes,24,5
RD11125,Taxi Stand,6:28 PM,00:07:00,Peak Time,Yes,8,4
RD11126,Taxi Stand,4:38 AM,00:23:00,Peak Time,No,23,0
RD11127,Taxi Stand,11:37 PM,00:06:00,Peak Time,Yes,6,5
RD11128,Taxi Stand,9:39 PM,00:23:00,Peak Time,No,23,0
RD11129,Taxi Stand,9:52 PM,00:07:00,Peak Time,Yes,7,5
RD11130,Taxi Stand,1:38 PM,00:20:00,Peak Time,Yes,17,3
RD11131,Taxi Stand,9:26 PM,00:16:00,Peak Time,No,16,0
RD11132,Taxi Stand,12:57 PM,00:23:00,Peak Time,Yes,18,5
RD11133,Taxi Stand,1:04 AM,00:19:00,Peak Time,Yes,16,3
RD11134,Taxi Stand,6:10 PM,00:22:00,Peak Time,No,22,0
RD11135,Taxi Stand,1:37 AM,00:26:00,Peak Time,Yes,21,5
RD11136,Taxi Stand,11:12 PM,00:08:00,Non-Peak Time,Yes,6,5
RD11137,Taxi Stand,1:38 PM,00:06:00,Non-Peak Time,Yes,7,3
RD11138,Taxi Stand,1:10 PM,00:06:00,Non-Peak Time,Yes,7,3
RD11139,Taxi Stand,12:26 PM,00:08:00,Non-Peak Time,Yes,7,4
RD11140,Taxi Stand,11:35 AM,00:07:00,Non-Peak Time,No,7,0
RD11141,Taxi Stand,6:57 PM,00:07:00,Non-Peak Time,Yes,8,4
RD11142,Taxi Stand,1:14 AM,00:06:00,Non-Peak Time,Yes,7,3
RD11143,Taxi Stand,2:28 AM,00:07:00,Non-Peak Time,No,7,0
RD11144,Taxi Stand,11:16 AM,00:07:00,Non-Peak Time,Yes,6,4
RD11145,Taxi Stand,1:24 PM,00:07:00,Non-Peak Time,Yes,7,4
RD11146,Taxi Stand,11:32 AM,00:06:00,Non-Peak Time,No,6,0
RD11147,Taxi Stand,2:03 AM,00:08:00,Non-Peak Time,Yes,7,5
RD11148,Taxi Stand,11:12 AM,00:06:00,Non-Peak Time,Yes,6,3
RD11149,Taxi Stand,10:35 AM,00:06:00,Non-Peak Time,Yes,7,3
RD11150,Taxi Stand,1:16 PM,00:07:00,Non-Peak Time,Yes,6,4
RD11151,Taxi Stand,7:32 PM,00:07:00,Non-Peak Time,No,7,0
RD11152,Taxi Stand,11:40 AM,00:08:00,Non-Peak Time,Yes,6,5
RD11153,Taxi Stand,1:38 PM,00:08:00,Peak Time,Yes,7,5
RD11154,Taxi Stand,11:50 PM,00:17:00,Peak Time,No,17,0
RD11155,Taxi Stand,1:58 PM,00:08:00,Peak Time,Yes,5,5
RD11156,Taxi Stand,1:43 PM,00:07:00,Non-Peak Time,No,7,0
RD11157,Taxi Stand,10:41 AM,00:06:00,Non-Peak Time,No,6,0
RD11158,Taxi Stand,1:06 PM,00:21:00,Peak Time,No,21,0
RD11159,Taxi Stand,1:05 PM,00:06:00,Peak Time,Yes,4,5
RD11160,Taxi Stand,4:03 AM,00:27:00,Peak Time,Yes,23,4
RD11161,Taxi Stand,12:24 PM,00:24:00,Peak Time,Yes,20,4
RD11162,Taxi Stand,11:58 AM,00:06:00,Non-Peak Time,No,6,0
RD11163,Taxi Stand,10:35 AM,00:18:00,Peak Time,Yes,15,3
RD11164,Taxi Stand,11:00 AM,00:05:00,Non-Peak Time,No,9,0
RD11165,Taxi Stand,12:42 AM,00:07:00,Non-Peak Time,Yes,6,3
RD11166,Taxi Stand,6:17 PM,00:28:00,Peak Time,Yes,23,5
RD11167,Taxi Stand,7:39 PM,00:25:00,Peak Time,Yes,22,3
RD11168,Taxi Stand,1:17 PM,00:23:00,Peak Time,No,23,0
RD11169,Taxi Stand,1:57 PM,00:07:00,Non-Peak Time,No,7,0
RD11170,Taxi Stand,2:36 AM,00:20:00,Peak Time,Yes,15,5
RD11171,Taxi Stand,8:08 PM,00:21:00,Peak Time,No,21,0
RD11172,Taxi Stand,5:30 AM,00:15:00,Peak Time,No,15,0
RD11173,Taxi Stand,10:39 AM,00:22:00,Peak Time,No,22,0
RD11174,Taxi Stand,6:44 PM,00:05:00,Peak Time,Yes,7,3
RD11175,Taxi Stand,8:45 PM,00:08:00,Peak Time,Yes,7,5
RD11176,Taxi Stand,1:13 PM,00:19:00,Peak Time,Yes,15,4
RD11177,Taxi Stand,1:52 AM,00:28:00,Peak Time,No,28,0
RD11178,Taxi Stand,11:28 AM,00:06:00,Non-Peak Time,No,6,0
RD11179,Taxi Stand,4:22 AM,00:17:00,Peak Time,No,17,0
RD11180,Taxi Stand,12:53 AM,00:09:00,Non-Peak Time,Yes,8,5
RD11181,Taxi Stand,8:37 PM,00:19:00,Peak Time,No,19,0
RD11182,Taxi Stand,12:24 PM,00:04:00,Peak Time,Yes,9,3
RD11183,Taxi Stand,11:41 PM,00:19:00,Peak Time,Yes,15,4
RD11184,Taxi Stand,1:00 PM,00:07:00,Non-Peak Time,No,7,0
RD11185,Taxi Stand,12:54 PM,00:07:00,Non-Peak Time,Yes,7,4
RD11186,Taxi Stand,11:39 AM,00:08:00,Non-Peak Time,Yes,6,5
RD11187,Taxi Stand,6:00 PM,00:08:00,Non-Peak Time,Yes,6,5
RD11188,Taxi Stand,1:18 AM,00:07:00,Non-Peak Time,No,7,0
RD11189,Taxi Stand,9:19 PM,00:08:00,Non-Peak Time,Yes,7,4
RD11190,Taxi Stand,4:37 AM,00:08:00,Non-Peak Time,Yes,6,5
RD11191,Taxi Stand,7:34 PM,00:06:00,Non-Peak Time,No,6,0
RD11192,Taxi Stand,12:39 PM,00:06:00,Non-Peak Time,Yes,6,3
RD11193,Taxi Stand,12:44 PM,00:07:00,Non-Peak Time,No,7,0
RD11194,Taxi Stand,1:12 PM,00:08:00,Non-Peak Time,Yes,6,5
RD11195,Taxi Stand,12:18 PM,00:07:00,Non-Peak Time,Yes,7,3
RD11196,Taxi Stand,8:44 PM,00:08:00,Non-Peak Time,Yes,5,5
RD11197,Taxi Stand,11:26 PM,00:08:00,Non-Peak Time,Yes,9,4
RD11198,Taxi Stand,7:01 PM,00:07:00,Non-Peak Time,Yes,8,4
RD11199,Taxi Stand,10:13 AM,00:07:00,Non-Peak Time,Yes,9,4
RD11200,Taxi Stand,12:04 PM,00:08:00,Non-Peak Time,Yes,7,5
RD11201,Taxi Stand,1:11 PM,00:07:00,Non-Peak Time,No,7,0
RD11202,Taxi Stand,11:55 AM,00:06:00,Non-Peak Time,Yes,7,3
RD11203,Taxi Stand,12:46 PM,00:06:00,Non-Peak Time,Yes,8,3
RD11204,Taxi Stand,2:21 AM,00:08:00,Non-Peak Time,Yes,6,5
RD11205,Taxi Stand,10:49 AM,00:07:00,Non-Peak Time,Yes,7,4
RD11206,Taxi Stand,11:45 AM,00:07:00,Non-Peak Time,Yes,7,4
RD11207,Taxi Stand,7:32 PM,00:08:00,Non-Peak Time,Yes,7,5
RD11208,Taxi Stand,10:19 AM,00:07:00,Non-Peak Time,Yes,7,4
RD11209,Taxi Stand,4:18 AM,00:06:00,Non-Peak Time,Yes,6,3
RD11210,Taxi Stand,12:49 PM,00:08:00,Non-Peak Time,Yes,8,4
RD11211,Taxi Stand,6:08 PM,00:07:00,Peak Time,Yes,7,4
RD11212,Taxi Stand,11:08 AM,00:19:00,Peak Time,Yes,16,3
RD11213,Taxi Stand,6:55 PM,00:07:00,Peak Time,Yes,7,5
RD11214,Taxi Stand,7:31 PM,00:19:00,Peak Time,Yes,15,4
RD11215,Taxi Stand,12:29 PM,00:15:00,Peak Time,No,15,0
RD11216,Taxi Stand,4:15 AM,00:24:00,Peak Time,No,24,0
RD11217,Taxi Stand,2:56 AM,00:28:00,Peak Time,No,28,0
RD11218,Taxi Stand,7:20 PM,00:22:00,Peak Time,Yes,17,5
RD11219,Taxi Stand,2:39 AM,00:06:00,Peak Time,Yes,5,3
RD11220,Taxi Stand,2:47 AM,00:28:00,Peak Time,Yes,23,5
RD11221,Taxi Stand,1:17 PM,00:05:00,Peak Time,Yes,6,4
RD11222,Taxi Stand,12:23 PM,00:08:00,Peak Time,Yes,7,4
RD11223,Taxi Stand,2:57 AM,00:06:00,Peak Time,Yes,5,4
RD11224,Taxi Stand,5:33 AM,00:05:00,Peak Time,Yes,6,3
RD11225,Taxi Stand,1:08 PM,00:25:00,Peak Time,Yes,22,3
RD11226,Taxi Stand,9:03 PM,00:27:00,Peak Time,Yes,22,5
RD11227,Taxi Stand,11:49 PM,00:20:00,Peak Time,Yes,17,3
RD11228,Taxi Stand,8:00 PM,00:15:00,Peak Time,No,15,0
RD11229,Taxi Stand,7:47 PM,00:07:00,Peak Time,Yes,8,3
RD11230,Taxi Stand,1:55 PM,00:08:00,Peak Time,Yes,7,5
RD11231,Taxi Stand,9:56 PM,00:19:00,Peak Time,No,19,0
RD11232,Taxi Stand,8:40 PM,00:16:00,Peak Time,No,16,0
RD11233,Taxi Stand,10:10 AM,00:24:00,Peak Time,No,24,0
RD11234,Taxi Stand,12:17 PM,00:17:00,Peak Time,No,17,0
RD11235,Taxi Stand,12:19 PM,00:21:00,Peak Time,Yes,17,4
RD11236,Taxi Stand,8:44 PM,00:20:00,Peak Time,No,20,0
RD11237,Taxi Stand,10:32 AM,00:26:00,Peak Time,Yes,22,4
RD11238,Taxi Stand,11:03 AM,00:22:00,Peak Time,Yes,18,4
RD11239,Taxi Stand,10:55 AM,00:21:00,Peak Time,No,21,0
RD11240,Taxi Stand,4:42 AM,00:23:00,Peak Time,Yes,18,5
RD11241,Taxi Stand,12:10 PM,00:19:00,Peak Time,Yes,16,3
RD11242,Taxi Stand,11:15 AM,00:16:00,Peak Time,No,16,0
RD11243,Taxi Stand,11:37 PM,00:25:00,Peak Time,Yes,22,3
RD11244,Taxi Stand,11:20 PM,00:06:00,Non-Peak Time,Yes,7,3
RD11245,Taxi Stand,7:15 PM,00:06:00,Non-Peak Time,No,6,0
RD11246,Taxi Stand,11:02 AM,00:07:00,Non-Peak Time,Yes,8,4
RD11247,Taxi Stand,9:26 PM,00:06:00,Non-Peak Time,No,6,0
RD11248,Taxi Stand,12:38 PM,00:06:00,Non-Peak Time,No,6,0
RD11249,Taxi Stand,12:31 PM,00:07:00,Non-Peak Time,No,7,0
RD11250,Taxi Stand,5:29 AM,00:06:00,Non-Peak Time,No,6,0
RD11251,Taxi Stand,12:49 PM,00:09:00,Non-Peak Time,Yes,7,5
RD11252,Taxi Stand,10:38 AM,00:07:00,Non-Peak Time,No,7,0
RD11253,Taxi Stand,1:38 PM,00:08:00,Non-Peak Time,Yes,7,5
RD11254,Taxi Stand,9:08 PM,00:05:00,Non-Peak Time,No,8,0
RD11255,Taxi Stand,3:50 AM,00:08:00,Non-Peak Time,Yes,5,5
RD11256,Taxi Stand,1:03 PM,00:06:00,Non-Peak Time,Yes,5,3
RD11257,Taxi Stand,3:26 AM,00:06:00,Non-Peak Time,Yes,6,3
RD11258,Taxi Stand,4:34 AM,00:06:00,Non-Peak Time,No,6,0
RD11259,Taxi Stand,11:33 AM,00:22:00,Peak Time,No,22,0
RD11260,Taxi Stand,4:06 AM,00:15:00,Peak Time,No,15,0
RD11261,Taxi Stand,11:08 AM,00:06:00,Non-Peak Time,Yes,7,3
RD11262,Taxi Stand,1:31 AM,00:17:00,Peak Time,No,17,0
RD11263,Taxi Stand,3:34 AM,00:06:00,Peak Time,Yes,3,5
RD11264,Taxi Stand,11:13 PM,00:07:00,Non-Peak Time,Yes,7,4
RD11265,Taxi Stand,1:04 AM,00:06:00,Non-Peak Time,Yes,6,3
RD11266,Taxi Stand,1:08 PM,00:30:00,Peak Time,No,30,0
RD11267,Taxi Stand,11:39 AM,00:24:00,Peak Time,No,24,0
RD11268,Taxi Stand,8:33 PM,00:19:00,Peak Time,Yes,15,4
RD11269,Taxi Stand,7:56 PM,00:06:00,Peak Time,Yes,6,3
RD11270,Taxi Stand,12:57 AM,00:22:00,Peak Time,No,22,0
RD11271,Taxi Stand,10:51 AM,00:07:00,Non-Peak Time,No,7,0
RD11272,Taxi Stand,11:18 PM,00:15:00,Peak Time,No,15,0
RD11273,Taxi Stand,11:03 AM,00:06:00,Peak Time,Yes,6,3
RD11274,Taxi Stand,8:45 PM,00:07:00,Peak Time,Yes,6,3
RD11275,Taxi Stand,12:19 PM,00:06:00,Peak Time,Yes,6,4
RD11276,Taxi Stand,11:12 AM,00:21:00,Peak Time,No,21,0
RD11277,Taxi Stand,2:48 AM,00:06:00,Non-Peak Time,No,6,0
RD11278,Taxi Stand,5:26 AM,00:15:00,Peak Time,No,15,0
RD11279,Taxi Stand,4:59 AM,00:07:00,Non-Peak Time,Yes,7,4
RD11280,Taxi Stand,9:09 PM,00:24:00,Peak Time,Yes,20,4
RD11281,Taxi Stand,1:49 PM,00:07:00,Peak Time,Yes,9,4
RD11282,Taxi Stand,2:49 AM,00:22:00,Peak Time,No,22,0
RD11283,Taxi Stand,2:02 AM,00:07:00,Non-Peak Time,Yes,7,4
RD11284,Taxi Stand,4:51 AM,00:06:00,Non-Peak Time,Yes,7,3
RD11285,Taxi Stand,6:39 PM,00:21:00,Peak Time,No,21,0
RD11286,Taxi Stand,12:06 PM,00:08:00,Non-Peak Time,Yes,6,5
RD11287,Taxi Stand,9:01 PM,00:24:00,Peak Time,Yes,19,5
RD11288,Taxi Stand,10:34 AM,00:16:00,Peak Time,No,16,0
RD11289,Taxi Stand,3:23 AM,00:28:00,Peak Time,No,28,0
RD11290,Taxi Stand,8:54 PM,00:08:00,Non-Peak Time,Yes,6,5
RD11291,Taxi Stand,3:36 AM,00:08:00,Non-Peak Time,Yes,6,4
RD11292,Taxi Stand,10:45 AM,00:06:00,Non-Peak Time,Yes,6,3
RD11293,Taxi Stand,9:21 PM,00:06:00,Non-Peak Time,Yes,7,3
RD11294,Taxi Stand,10:17 AM,00:06:00,Non-Peak Time,Yes,8,3
RD11295,Taxi Stand,12:55 PM,00:07:00,Non-Peak Time,Yes,8,4
RD11296,Taxi Stand,11:55 PM,00:09:00,Non-Peak Time,Yes,6,5
RD11297,Taxi Stand,11:31 PM,00:07:00,Non-Peak Time,Yes,6,4
RD11298,Taxi Stand,3:23 AM,00:08:00,Non-Peak Time,Yes,6,5
RD11299,Taxi Stand,11:55 PM,00:07:00,Non-Peak Time,Yes,8,4
RD11300,Taxi Stand,12:03 PM,00:07:00,Non-Peak Time,Yes,5,4
RD11301,Taxi Stand,11:17 PM,00:08:00,Non-Peak Time,Yes,7,5
RD11302,Taxi Stand,12:20 PM,00:08:00,Non-Peak Time,Yes,8,5
RD11303,Taxi Stand,9:18 PM,00:06:00,Non-Peak Time,Yes,7,3
RD11304,Taxi Stand,12:47 PM,00:07:00,Non-Peak Time,Yes,7,4
RD11305,Taxi Stand,3:07 AM,00:07:00,Non-Peak Time,No,7,0
RD11306,Taxi Stand,6:09 PM,00:06:00,Non-Peak Time,Yes,7,3
RD11307,Taxi Stand,12:54 PM,00:07:00,Non-Peak Time,Yes,8,4
